KEPLER_ID,DR16_TEFF_COR,DR16_TEFF_COR_ERR,DR17_TEFF_COR,DR17_TEFF_COR_ERR,APOKASC3_EVSTATE,APOKASC3_SEIS_SOURCE,APOKASC3_SPEC_SOURCE,APOKASC3_MASS,APOKASC3_MASS_ERR,APOKASC3_RADIUS,APOKASC3_RADIUS_ERR,APOKASC3_LOGG,APOKASC3_LOGG_ERR,APOKASC3_TEFF,APOKASC3_TEFF_ERR,APOKASC3_LOGG_SPEC,APOKASC3_LOGG_SPEC_ERR,APOKASC3_M_H,APOKASC3_M_H_ERR,APOKASC3_ALPHA_M,APOKASC3_ALPHA_M_ERR,APOKASC3_CAT_AGE,APOKASC3_AGE_RGB,APOKASC3_AGE_RGB_PERR,APOKASC3_AGE_RGB_MERR,GAIA_TEFF,GAIA_RADIUS,GAIA_LUMINOSITY
11975063,4666.1367,92.41894,4645.4956,9.825218,RGB,WAvg,DR17,1.6256,0.0627,11.3081,0.1961,2.5436,0.0041,4645.4956,48.982,2.5567,0.058,0.0661,0.058,0.0216,0.022,RGB,2.3851,0.214,-0.1843,4535.5723,11.511745,50.52489
11975173,4892.259,99.95905,4878.8784,11.791642,RGB,WAvg,DR17,1.1483,0.044,4.2267,0.073,3.2479,0.0042,4878.8784,52.9783,3.2643,0.058,0.0449,0.058,0.0463,0.022,RGB,7.2981,0.9515,-0.8033,4941.287,3.914246,8.22908
12004945,4615.1855,77.75396,4592.8994,6.7946687,RGB,WAvg,DR17,1.1507,0.0482,6.7735,0.1267,2.8391,0.0041,4592.8994,41.2096,2.82,0.058,0.2346,0.058,0.0347,0.022,RGB,8.2195,1.1365,-0.9047,4792.6997,6.243327,18.52882
12005162,4973.375,91.02899,4943.9414,9.523022,RGB,WAvg,DR17,1.238,0.0474,5.1074,0.0882,3.1161,0.004,4943.9414,48.2454,3.1339,0.058,-0.1743,0.058,0.0272,0.022,RGB,4.7209,0.5702,-0.4453,4972.6826,4.9992266,13.767762
12006316,4743.128,98.99402,4726.296,13.925927,RGB,WAvg,DR17,1.3204,0.0552,6.2829,0.1174,2.9642,0.0046,4726.296,52.4668,2.9844,0.058,0.2334,0.058,0.0248,0.022,RGB,5.1384,0.582,-0.4837,4857.8667,5.6666737,16.111408
12007247,4595.3213,79.626236,4604.6074,7.2480345,RGB,WAvg,DR17,1.3056,0.0547,12.3692,0.2314,2.3676,0.0042,4604.6074,42.2019,2.3949,0.058,-0.1181,0.058,0.0565,0.022,RGB,4.3307,0.4799,-0.4306,4721.9937,11.22505,56.438164
12007304,4965.507,96.39118,4863.402,14.334825,RGB,WAvg,DR17,1.0956,0.0456,4.1339,0.0771,3.2467,0.0044,4863.402,51.0873,3.2026,0.058,-0.28,0.058,0.0857,0.022,RGB,6.8229,1.0172,-0.8596,4980.0,3.9036908,8.444285
12008413,4933.7236,104.27188,4902.664,14.667989,RGB,WAvg,DR17,1.2646,0.0485,7.2464,0.1252,2.8215,0.0043,4902.664,55.2641,2.8252,0.058,-0.3073,0.058,0.077,0.022,RGB,4.1605,0.4597,-0.3722,4956.5,6.8889036,25.804495
12008916,4874.628,87.95009,4832.9688,12.087228,RGB,WAvg,DR17,1.2341,0.0505,5.0999,0.0936,3.116,0.0042,4832.9688,46.6135,3.0649,0.058,0.0412,0.058,0.0338,0.022,RGB,5.6264,0.7103,-0.5805,4885.0,4.713943,11.40044
12009953,4559.509,76.67851,4528.3926,8.796191,RGB,WAvg,DR17,1.1388,0.0441,9.2659,0.1609,2.5623,0.0038,4528.3926,40.6396,2.5383,0.058,0.1475,0.058,0.0322,0.022,RGB,8.0904,1.0961,-0.8562,4559.095,9.646918,36.22318
12011417,4709.2847,97.2491,4676.808,11.211002,RGB,WAvg,DR17,1.1299,0.0473,8.2982,0.1551,2.6549,0.0046,4676.808,51.542,2.6328,0.058,-0.1105,0.058,0.0529,0.022,RGB,7.0927,0.9771,-0.7562,5016.2773,6.652474,25.24569
12012082,4710.6143,83.70706,4691.0234,10.235611,RGB,WAvg,DR17,1.7696,0.074,14.2705,0.2667,2.3755,0.0042,4691.0234,44.3647,2.3783,0.058,-0.2434,0.058,0.0627,0.022,RGB,1.5331,0.1332,-0.1081,4773.585,14.290037,95.53006
12012511,4772.4336,81.6807,4724.298,10.389293,RGB,WAvg,DR17,1.5531,0.0598,7.5384,0.1306,2.8764,0.0038,4724.298,43.2908,2.8907,0.058,0.2019,0.058,0.0186,0.022,RGB,2.9847,0.2721,-0.2318,4774.42,7.6372414,27.305506
12012758,4890.815,111.68421,4877.0615,11.85374,RGB,WAvg,DR17,0.9688,0.0403,3.9354,0.0734,3.2361,0.0048,4877.0615,59.1926,3.1768,0.058,-0.3931,0.058,0.2949,0.0844,RGB,10.9198,1.9232,-1.6123,4920.3022,4.0721717,8.756166
12018969,4502.0093,74.469986,4479.552,6.08721,RGB,WAvg,DR17,1.4184,0.0596,11.6121,0.2176,2.4604,0.0041,4479.552,39.4691,2.4888,0.058,0.245,0.058,0.0305,0.022,RGB,4.2026,0.427,-0.3929,4552.1665,10.477475,42.469833
12019642,4666.4434,90.81235,4662.3555,9.595213,RGB,WAvg,DR17,1.2498,0.0523,10.5327,0.1969,2.4905,0.0044,4662.3555,48.1305,2.5192,0.058,-0.1154,0.058,0.0545,0.022,RGB,4.9602,0.6249,-0.4938,4971.5,8.990008,44.479992
